,fighter1,fighter2,winner,weight_class,title_fight,method,end_round,fight_year,win_fighter1,lose_fighter1,draw_fighter1,nc_fighter1,height_fighter1,reach_fighter1,stance_fighter1,SLpM_fighter1,Str_Acc_fighter1,SApM_fighter1,Str_Def_fighter1,TD_Avg_fighter1,TD_Acc_fighter1,TD_Def_fighter1,Sub_Avg_fighter1,win%_fighter1,born_year_fighter1,win_fighter2,lose_fighter2,draw_fighter2,nc_fighter2,height_fighter2,reach_fighter2,stance_fighter2,SLpM_fighter2,Str_Acc_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,TD_Def_fighter2,Sub_Avg_fighter2,win%_fighter2,born_year_fighter2
3928,Brandon Thatch,Niko Price,0,Welterweight,f,SUB,1,2016,11,5,0,0,"6' 2""","74""",Switch,2.7,42.0,3.63,52.0,1.36,66.0,50.0,0.7,68.75,1985,12,2,0,1,"6' 0""","76""",Orthodox,2.5,29.0,4.04,56.0,1.44,28.0,75.0,1.8,80.0,1989
3929,BJ Penn,Yair Rodriguez,0,Featherweight,f,KO/TKO,2,2017,16,12,2,0,"5' 9""","70""",Orthodox,2.71,49.0,3.12,56.0,1.24,55.0,75.0,0.5,53.333332,1978,12,2,0,0,"5' 11""","71""",,4.06,43.0,3.11,58.0,1.02,33.0,68.0,1.0,85.71429,1992
3930,Marcin Held,Joe Lauzon,0,Lightweight,f,DEC,3,2017,23,7,0,0,"5' 9""","71""",Orthodox,1.41,34.0,2.02,47.0,2.46,46.0,37.0,1.3,76.666664,1992,27,16,0,0,"5' 10""","71""",Orthodox,2.74,38.0,5.39,54.0,2.34,45.0,54.0,2.1,62.7907,1984
3931,Ben Saunders,Court McGee,1,Welterweight,f,DEC,3,2017,22,11,2,0,"6' 2""","77""",Orthodox,3.19,50.0,3.58,51.0,0.22,40.0,68.0,1.0,62.857143,1983,20,7,0,0,"5' 11""","75""",Orthodox,4.72,36.0,3.43,63.0,1.98,24.0,62.0,0.5,74.07407,1984
3932,John Moraga,Sergio Pettis,0,Flyweight,f,DEC,3,2017,19,7,0,0,"5' 6""","66""",Orthodox,2.57,43.0,2.55,56.0,0.62,23.0,44.0,1.1,73.07692,1984,17,4,0,0,"5' 6""","69""",Orthodox,3.6,37.0,2.56,65.0,0.91,39.0,68.0,0.4,80.95238,1993
3933,Devin Powell,Drakkar Klose,0,Lightweight,f,DEC,3,2017,9,4,0,0,"6' 0""","73""",Orthodox,2.88,41.0,3.67,51.0,0.0,0.0,0.0,0.6,69.23077,1988,9,1,1,0,"5' 9""","70""",Orthodox,3.35,51.0,2.63,63.0,2.0,40.0,69.0,0.0,81.818184,1988
3934,Frankie Saenz,Augusto Mendes,0,Bantamweight,f,DEC,3,2017,13,5,0,0,"5' 6""","66""",Orthodox,3.99,47.0,3.09,54.0,1.8,32.0,62.0,0.1,72.22222,1980,6,2,0,0,"5' 6""","65""",Orthodox,2.42,34.0,3.91,56.0,1.75,33.0,80.0,0.0,75.0,1983
3935,Viktor Pesta,Aleksei Oleinik,0,Heavyweight,f,SUB,1,2017,10,4,0,0,"6' 3""","77""",Orthodox,1.58,36.0,2.54,56.0,3.29,28.0,100.0,0.0,71.42857,1990,54,11,1,0,"6' 2""","80""",Orthodox,3.06,48.0,3.28,53.0,2.99,39.0,11.0,2.7,81.818184,1977
3936,Anthony Rocco Martin,Alex White,1,Lightweight,f,DEC,3,2017,14,4,0,0,"6' 0""","73""",Orthodox,2.81,41.0,2.96,56.0,1.0,25.0,55.0,1.3,77.77778,1989,12,5,0,0,"6' 0""","71""",Southpaw,3.86,40.0,2.88,64.0,0.89,45.0,67.0,0.2,70.588234,1988
3937,Jocelyn Jones-Lybarger,Nina Ansaroff,0,Women's Strawweight,f,SUB,3,2017,6,4,0,0,"5' 7""","64""",Orthodox,2.96,31.0,4.83,56.0,0.34,25.0,81.0,0.0,60.0,1985,9,5,0,0,"5' 5""","64""",Orthodox,4.82,47.0,3.31,55.0,0.41,40.0,80.0,0.8,64.28571,1985
3938,Walt Harris,Chase Sherman,1,Heavyweight,f,KO/TKO,2,2017,11,7,0,0,"6' 5""","77""",Southpaw,2.99,38.0,2.63,63.0,0.22,33.0,75.0,0.2,61.11111,1983,11,6,0,0,"6' 4""","78""",Orthodox,5.81,43.0,5.76,51.0,0.0,0.0,77.0,0.0,64.70588,1989
3939,Joachim Christensen,Bojan Mihajlovic,1,Light Heavyweight,f,KO/TKO,3,2017,14,6,0,0,"6' 3""","76""",Orthodox,3.78,41.0,3.29,46.0,0.0,0.0,0.0,0.0,70.0,1978,10,6,0,0,"5' 11""","73""",Orthodox,1.23,35.0,5.95,47.0,0.0,0.0,33.0,0.0,62.5,1980
3940,Dmitrii Smoliakov,Cyril Asker,0,Heavyweight,f,KO/TKO,1,2017,8,2,0,0,"6' 2""","74""",Switch,1.63,43.0,3.35,56.0,0.0,0.0,75.0,0.0,80.0,1982,9,4,0,0,"6' 0""","74""",Orthodox,3.35,39.0,5.82,35.0,4.41,62.0,100.0,0.9,69.23077,1985
3941,Julianna Pena,Valentina Shevchenko,0,Women's Bantamweight,f,SUB,2,2017,9,3,0,0,"5' 6""","69""",,2.95,52.0,1.2,44.0,2.79,52.0,22.0,1.2,75.0,1989,15,3,0,0,"5' 5""","67""",Southpaw,3.31,52.0,2.38,57.0,1.82,54.0,73.0,0.5,83.333336,1988
3942,Donald Cerrone,Jorge Masvidal,0,Welterweight,f,KO/TKO,2,2017,34,11,0,1,"6' 1""","73""",Orthodox,4.09,48.0,4.02,54.0,1.28,34.0,71.0,1.4,73.91304,1983,32,13,0,0,"5' 11""","74""",Orthodox,4.15,46.0,2.96,67.0,1.73,58.0,78.0,0.4,71.111115,1984
3943,Francis Ngannou,Andrei Arlovski,1,Heavyweight,f,KO/TKO,1,2017,11,3,0,0,"6' 4""","83""",Orthodox,1.79,34.0,1.95,47.0,0.0,0.0,68.0,0.5,78.57143,1986,27,17,0,1,"6' 3""","77""",Orthodox,3.13,42.0,2.62,57.0,0.61,37.0,79.0,0.3,60.0,1979
3944,Alex Caceres,Jason Knight,0,Featherweight,f,SUB,2,2017,14,11,0,1,"5' 10""","73""",Southpaw,3.86,49.0,2.78,63.0,0.57,75.0,59.0,0.8,53.846153,1988,20,6,0,0,"5' 10""","71""",Orthodox,2.95,33.0,3.02,51.0,1.31,31.0,47.0,1.7,76.92308,1992
3945,Sam Alvey,Nate Marquardt,1,Middleweight,f,DEC,3,2017,33,11,0,1,"6' 2""","75""",Southpaw,3.2,45.0,3.25,55.0,0.1,25.0,84.0,0.1,73.333336,1986,38,19,2,0,"6' 0""","74""",Orthodox,2.71,49.0,2.32,55.0,1.87,51.0,70.0,0.8,64.40678,1979
3946,Aljamain Sterling,Raphael Assuncao,0,Bantamweight,f,DEC,3,2017,16,3,0,0,"5' 7""","71""",Orthodox,3.89,49.0,1.43,68.0,2.33,36.0,51.0,1.0,84.210526,1989,27,5,0,0,"5' 5""","66""",Orthodox,3.38,40.0,2.23,70.0,1.4,36.0,79.0,0.3,84.375,1982
3947,Li Jingliang,Bobby Nash,1,Welterweight,f,KO/TKO,2,2017,15,5,0,0,"6' 0""","71""",Orthodox,4.84,43.0,3.31,60.0,1.15,32.0,56.0,0.0,75.0,1988,8,4,0,0,"6' 0""","74""",Orthodox,3.42,37.0,3.95,51.0,2.37,33.0,100.0,1.6,66.666664,1990
3948,Jordan Johnson,Henrique da Silva,1,Light Heavyweight,f,DEC,3,2017,10,0,0,0,"6' 2""","79""",Orthodox,3.45,47.0,2.64,53.0,3.25,42.0,100.0,1.2,100.0,1988,14,5,0,0,"6' 3""","76""",Orthodox,3.89,60.0,5.28,40.0,0.25,14.0,22.0,0.2,73.68421,1989
3949,Alessio Di Chirico,Eric Spicely,0,Middleweight,f,SUB,1,2017,12,2,0,0,"6' 0""","74""",Orthodox,3.36,41.0,2.94,63.0,2.48,56.0,77.0,0.0,85.71429,1989,10,5,0,0,"6' 1""","73""",Orthodox,2.01,40.0,3.02,58.0,1.95,20.0,0.0,1.5,66.666664,1986
3950,Jeremy Kimball,Marcos Rogerio de Lima,0,Light Heavyweight,f,KO/TKO,1,2017,15,8,0,0,"6' 0""","72""",Switch,2.81,46.0,3.84,49.0,1.41,20.0,50.0,0.0,65.21739,1991,16,6,1,0,"6' 1""","75""",Orthodox,3.57,51.0,2.99,53.0,0.9,60.0,40.0,0.9,69.565216,1985
3951,Eric Shelton,Alexandre Pantoja,0,Flyweight,f,DEC,3,2017,12,5,0,0,"5' 6""","68""",Orthodox,2.75,44.0,1.63,65.0,3.4,51.0,43.0,0.2,70.588234,1991,20,3,0,0,"5' 5""","67""",Orthodox,4.31,46.0,3.38,59.0,0.75,50.0,60.0,1.8,86.95652,1990
3952,Jason Gonzalez,JC Cottrell,1,Lightweight,f,SUB,1,2017,11,4,0,0,"6' 2""","74""",Southpaw,2.81,39.0,3.19,60.0,0.0,0.0,37.0,1.2,73.333336,1990,17,5,0,0,"5' 9""","71""",Orthodox,0.79,25.0,2.75,45.0,0.79,100.0,50.0,0.0,77.27273,1989
3953,Chan Sung Jung,Dennis Bermudez,1,Featherweight,f,KO/TKO,1,2017,14,5,0,0,"5' 7""","72""",Orthodox,4.12,39.0,3.81,60.0,0.81,41.0,75.0,0.7,73.68421,1987,17,9,0,0,"5' 6""","66""",Orthodox,4.44,45.0,3.2,59.0,3.8,38.0,82.0,1.0,65.38461,1986
3954,Felice Herrig,Alexa Grasso,1,Women's Strawweight,f,DEC,3,2017,14,8,0,0,"5' 4""","65""",Orthodox,3.69,36.0,4.89,50.0,1.2,30.0,76.0,0.9,63.636364,1984,10,2,0,0,"5' 5""","66""",Orthodox,4.5,42.0,3.08,67.0,0.31,50.0,63.0,0.3,83.333336,1993
3955,Abel Trujillo,James Vick,0,Lightweight,f,SUB,3,2017,15,8,0,1,"5' 8""","70""",Orthodox,2.65,41.0,2.31,59.0,2.18,45.0,40.0,0.4,62.5,1983,13,2,0,0,"6' 3""","76""",Orthodox,4.16,38.0,3.05,62.0,0.32,33.0,56.0,0.8,86.666664,1987
3956,Volkan Oezdemir,Ovince Saint Preux,1,Light Heavyweight,f,DEC,3,2017,15,3,0,0,"6' 2""","75""",Orthodox,5.69,48.0,4.84,53.0,0.4,50.0,70.0,0.0,83.333336,1989,23,12,0,0,"6' 3""","80""",Southpaw,2.68,47.0,2.78,44.0,1.18,40.0,66.0,0.6,65.71429,1983
3957,Marcel Fortuna,Anthony Hamilton,1,Heavyweight,f,KO/TKO,1,2017,9,3,0,0,"6' 1""","74""",Orthodox,3.83,46.0,4.52,64.0,0.45,8.0,75.0,0.5,75.0,1985,15,9,0,0,"6' 5""","76""",Orthodox,3.91,65.0,3.02,45.0,2.62,42.0,78.0,0.0,62.5,1980
3958,Jessica Andrade,Angela Hill,1,Women's Strawweight,f,DEC,3,2017,19,6,0,0,"5' 1""","62""",Orthodox,6.58,51.0,5.04,51.0,3.2,58.0,75.0,0.5,76.0,1991,8,5,0,0,"5' 3""","64""",Orthodox,5.79,51.0,5.39,63.0,0.42,60.0,74.0,0.0,61.53846,1985
3959,Chas Skelly,Chris Gruetzemacher,1,Featherweight,f,SUB,2,2017,17,4,0,0,"5' 11""","72""",Orthodox,2.12,40.0,3.49,47.0,1.83,34.0,35.0,2.3,80.95238,1985,14,3,0,0,"5' 8""","68""",Orthodox,7.12,58.0,5.09,56.0,0.0,0.0,62.0,0.0,82.35294,1986
3960,Ricardo Ramos,Michinori Tanaka,1,Bantamweight,f,DEC,3,2017,12,1,0,0,"5' 9""","72""",Orthodox,3.36,42.0,3.31,58.0,1.43,50.0,72.0,0.7,92.30769,1995,11,3,0,0,"5' 5""","67""",Orthodox,1.97,37.0,1.99,50.0,2.4,38.0,43.0,0.2,78.57143,1990
3961,Tecia Torres,Bec Rawlings,1,Women's Strawweight,f,DEC,3,2017,10,3,0,0,"5' 1""","60""",Orthodox,4.44,48.0,3.11,65.0,0.83,17.0,42.0,0.1,76.92308,1989,7,8,0,0,"5' 6""","64""",Orthodox,4.48,42.0,5.66,57.0,0.71,40.0,68.0,0.4,46.666668,1989
3962,Daniel Jolly,Khalil Rountree Jr.,0,Light Heavyweight,f,KO/TKO,1,2017,5,2,0,0,"6' 1""","75""",Orthodox,1.32,46.0,3.39,44.0,2.83,33.0,50.0,0.0,71.42857,1984,8,2,0,2,"6' 1""","76""",Southpaw,2.3,34.0,3.29,38.0,0.0,0.0,50.0,0.3,66.666664,1990
3963,Holly Holm,Germaine de Randamie,0,Women's Featherweight,t,DEC,5,2017,12,4,0,0,"5' 8""","69""",Southpaw,2.82,34.0,2.8,57.0,0.56,31.0,78.0,0.1,75.0,1981,8,3,0,0,"5' 9""","71""",Orthodox,3.13,45.0,2.16,67.0,0.0,0.0,88.0,0.2,72.72727,1984
3964,Derek Brunson,Anderson Silva,0,Middleweight,f,DEC,3,2017,18,7,0,0,"6' 1""","77""",Southpaw,3.03,44.0,2.55,50.0,2.74,28.0,100.0,0.6,72.0,1984,34,8,0,1,"6' 2""","77""",Southpaw,3.1,63.0,1.87,62.0,0.55,77.0,69.0,0.9,79.06977,1975
3965,Tim Boetsch,Jacare Souza,0,Middleweight,f,SUB,1,2017,21,12,0,0,"6' 0""","74""",Orthodox,2.94,51.0,2.86,56.0,1.56,35.0,57.0,0.8,63.636364,1981,26,6,0,1,"6' 1""","72""",Orthodox,2.61,46.0,2.46,63.0,3.01,41.0,53.0,1.7,78.78788,1979
3966,Glover Teixeira,Jared Cannonier,1,Light Heavyweight,f,DEC,3,2017,27,7,0,0,"6' 2""","76""",Orthodox,3.5,43.0,3.57,56.0,2.16,46.0,60.0,0.8,79.411766,1979,11,4,0,0,"5' 11""","77""",Switch,3.63,50.0,2.83,67.0,0.21,33.0,44.0,0.0,73.333336,1984
3967,Jim Miller,Dustin Poirier,0,Lightweight,f,DEC,3,2017,29,12,0,1,"5' 8""","71""",Southpaw,2.79,40.0,2.89,59.0,1.7,41.0,47.0,1.9,69.04762,1983,24,5,0,1,"5' 9""","72""",Southpaw,5.59,49.0,3.69,56.0,1.75,41.0,69.0,1.3,80.0,1989
3968,Randy Brown,Belal Muhammad,0,Welterweight,f,DEC,3,2017,10,3,0,0,"6' 3""","78""",Orthodox,2.89,44.0,2.37,55.0,0.99,41.0,77.0,0.6,76.92308,1990,14,2,0,0,"5' 11""","72""",Orthodox,4.63,43.0,3.94,60.0,2.48,39.0,90.0,0.2,87.5,1988
3969,Ulka Sasaki,Wilson Reis,0,Flyweight,f,DEC,3,2017,21,6,2,0,"5' 10""","71""",Southpaw,2.16,41.0,2.5,50.0,3.03,43.0,41.0,1.2,72.413795,1989,22,9,0,0,"5' 4""","65""",Southpaw,1.82,29.0,2.99,55.0,4.94,43.0,47.0,0.6,70.96774,1985
3970,Islam Makhachev,Nik Lentz,1,Lightweight,f,DEC,3,2017,16,1,0,0,"5' 10""","70""",Orthodox,2.24,60.0,0.82,64.0,4.33,86.0,100.0,1.3,94.117645,1991,31,9,2,1,"5' 8""","68""",Orthodox,3.42,49.0,3.0,49.0,3.5,35.0,44.0,1.3,72.093025,1984
3971,Rick Glenn,Phillipe Nover,1,Featherweight,f,DEC,3,2017,21,5,1,0,"6' 0""","70""",Southpaw,4.19,43.0,4.0,54.0,0.8,16.0,65.0,0.4,77.77778,1989,12,8,1,0,"5' 9""","72""",Orthodox,1.79,35.0,2.48,56.0,0.99,28.0,44.0,0.7,57.142857,1984
3972,Ryan LaFlare,Roan Carneiro,1,Welterweight,f,DEC,3,2017,14,3,0,0,"6' 1""","74""",Southpaw,2.89,40.0,1.86,63.0,2.13,44.0,58.0,0.2,82.35294,1983,21,11,0,0,"5' 11""","74""",Orthodox,1.46,46.0,1.82,62.0,3.05,42.0,83.0,1.4,65.625,1978
3973,Travis Browne,Derrick Lewis,0,Heavyweight,f,KO/TKO,2,2017,18,7,1,0,"6' 6""","79""",Orthodox,2.93,41.0,4.31,42.0,1.21,68.0,75.0,0.2,69.23077,1982,21,6,0,1,"6' 3""","79""",Orthodox,2.76,50.0,2.3,44.0,0.49,23.0,53.0,0.0,75.0,1985
3974,Hector Lombard,Johny Hendricks,0,Middleweight,f,DEC,3,2017,34,10,1,2,"5' 9""","71""",Southpaw,3.02,46.0,3.35,53.0,1.69,48.0,77.0,0.5,72.34042,1978,18,8,0,0,"5' 9""","69""",Southpaw,3.49,45.0,3.99,53.0,3.83,46.0,63.0,0.3,69.23077,1983
3975,Gavin Tucker,Sam Sicilia,1,Featherweight,f,DEC,3,2017,10,1,0,0,"5' 6""","66""",Southpaw,2.6,31.0,5.07,53.0,0.5,20.0,42.0,0.5,90.90909,1986,15,8,0,0,"5' 8""","67""",Orthodox,2.46,33.0,3.55,59.0,1.45,43.0,70.0,0.9,65.21739,1986
3976,Cezar Ferreira,Elias Theodorou,0,Middleweight,f,DEC,3,2017,14,7,0,0,"6' 1""","78""",Southpaw,1.83,42.0,2.14,55.0,2.97,59.0,90.0,0.5,66.666664,1985,16,2,0,0,"6' 1""","75""",Orthodox,3.93,42.0,1.99,55.0,1.58,30.0,58.0,0.0,88.888885,1988
3977,Sara McMann,Gina Mazany,1,Women's Bantamweight,f,SUB,1,2017,11,5,0,0,"5' 6""","66""",Orthodox,2.37,44.0,2.06,47.0,4.67,64.0,66.0,0.5,68.75,1980,5,2,0,0,"5' 6""","68""",Southpaw,2.43,48.0,2.21,50.0,3.36,77.0,20.0,0.0,71.42857,1988
3978,Paul Felder,Alessandro Ricci,1,Lightweight,f,KO/TKO,1,2017,15,4,0,0,"5' 11""","70""",Orthodox,3.52,43.0,2.96,51.0,0.36,33.0,59.0,0.4,78.947365,1984,10,5,0,0,"5' 11""","69""",Orthodox,2.48,41.0,2.53,64.0,0.0,0.0,64.0,0.0,66.666664,1982
3979,Nordine Taleb,Santiago Ponzinibbio,0,Welterweight,f,DEC,3,2017,14,6,0,0,"6' 1""","74""",Orthodox,3.42,54.0,2.52,67.0,2.3,76.0,71.0,0.0,70.0,1981,28,3,0,0,"6' 0""","73""",Orthodox,4.27,39.0,4.02,64.0,0.54,44.0,60.0,0.0,90.32258,1986
3980,Carla Esparza,Randa Markos,0,Women's Strawweight,f,DEC,3,2017,14,6,0,0,"5' 1""","63""",,2.2,38.0,3.07,53.0,3.4,35.0,40.0,0.4,70.0,1987,8,7,1,0,"5' 4""","63""",Orthodox,2.92,41.0,3.26,61.0,1.61,26.0,53.0,0.2,50.0,1985
3981,Reginaldo Vieira,Aiemann Zahabi,0,Bantamweight,f,DEC,3,2017,14,5,0,0,"5' 7""","65""",,3.76,40.0,2.89,59.0,1.97,27.0,25.0,0.8,73.68421,1982,7,1,0,0,"5' 8""","68""",Orthodox,3.34,41.0,3.93,62.0,0.0,0.0,72.0,0.0,87.5,1987
3982,Thiago Santos,Jack Marshman,1,Middleweight,f,KO/TKO,2,2017,19,6,0,0,"6' 0""","76""",Orthodox,4.89,50.0,2.04,62.0,0.87,37.0,65.0,0.1,76.0,1984,22,8,0,0,"6' 0""","73""",Orthodox,2.87,31.0,3.78,56.0,0.0,0.0,22.0,0.0,73.333336,1989
3983,Gerald Meerschaert,Ryan Janes,1,Middleweight,f,SUB,1,2017,28,9,0,0,"6' 1""","77""",Southpaw,3.96,46.0,3.59,52.0,3.0,42.0,50.0,2.0,75.675674,1987,10,3,0,0,"6' 3""","76""",Orthodox,7.69,48.0,5.53,59.0,0.35,100.0,58.0,0.0,76.92308,1981
3984,Tyron Woodley,Stephen Thompson,1,Welterweight,t,DEC,5,2017,19,3,1,0,"5' 9""","74""",Orthodox,2.62,48.0,2.26,61.0,1.34,42.0,94.0,0.5,82.608696,1982,14,3,1,0,"6' 0""","75""",Orthodox,3.45,42.0,2.51,60.0,0.41,45.0,78.0,0.0,77.77778,1983
3985,David Teymur,Lando Vannata,1,Lightweight,f,DEC,3,2017,8,1,0,0,"5' 9""","73""",Southpaw,4.72,42.0,3.41,55.0,1.04,33.0,82.0,0.0,88.888885,1989,9,3,2,0,"5' 9""","71""",Orthodox,5.03,42.0,5.52,54.0,1.52,41.0,70.0,0.4,64.28571,1992
3986,Rashad Evans,Daniel Kelly,0,Middleweight,f,DEC,3,2017,24,8,1,0,"6' 0""","75""",Orthodox,2.14,37.0,2.42,63.0,2.98,44.0,73.0,0.0,72.72727,1979,13,4,0,0,"6' 0""","70""",Southpaw,3.62,38.0,4.64,61.0,1.86,34.0,78.0,0.3,76.47059,1977
3987,Cynthia Calvillo,Amanda Cooper,1,Women's Strawweight,f,SUB,1,2017,7,1,0,0,"5' 4""","64""",Orthodox,3.41,38.0,3.1,66.0,2.02,53.0,69.0,2.6,87.5,1987,4,5,0,0,"5' 3""","64""",Switch,3.55,44.0,3.2,51.0,1.53,38.0,28.0,1.8,44.444443,1991
3988,Alistair Overeem,Mark Hunt,1,Heavyweight,f,KO/TKO,3,2017,43,17,0,1,"6' 4""","80""",Orthodox,3.53,61.0,1.93,61.0,1.39,62.0,72.0,1.0,70.491806,1980,13,13,1,1,"5' 10""","72""",Orthodox,2.89,43.0,2.84,51.0,0.53,55.0,64.0,0.2,46.42857,1974
3989,Luis Henrique,Marcin Tybura,0,Heavyweight,f,KO/TKO,3,2017,10,5,0,1,"6' 2""","74""",Orthodox,1.81,43.0,2.22,47.0,3.09,36.0,50.0,1.0,62.5,1993,17,4,0,0,"6' 3""","78""",Orthodox,3.6,52.0,2.99,52.0,1.61,61.0,79.0,0.1,80.95238,1985
3990,Darren Elkins,Mirsad Bektic,1,Featherweight,f,KO/TKO,3,2017,25,7,0,0,"5' 10""","71""",Orthodox,3.36,37.0,2.83,53.0,2.68,35.0,57.0,1.3,78.125,1984,13,1,0,0,"5' 8""","70""",Orthodox,2.92,46.0,1.42,62.0,3.59,53.0,100.0,0.4,92.85714,1991
3991,Iuri Alcantara,Luke Sanders,1,Bantamweight,f,SUB,2,2017,35,10,0,1,"5' 9""","71""",Southpaw,2.72,45.0,2.79,49.0,1.44,62.0,60.0,0.8,76.08696,1980,12,3,0,0,"5' 6""","67""",Southpaw,5.92,51.0,3.6,55.0,0.44,33.0,70.0,0.4,80.0,1985
3992,Daniel Spitz,Mark Godbeer,0,Heavyweight,f,DEC,3,2017,6,2,0,0,"6' 7""","82""",Orthodox,2.88,39.0,4.77,51.0,1.18,66.0,0.0,0.0,75.0,1990,13,4,0,0,"6' 4""","77""",Orthodox,3.97,53.0,3.3,54.0,0.0,0.0,28.0,0.0,76.47059,1983
3993,Tyson Pedro,Paul Craig,1,Light Heavyweight,f,KO/TKO,1,2017,7,2,0,0,"6' 3""","79""",Orthodox,2.63,60.0,2.46,48.0,1.0,28.0,57.0,1.5,77.77778,1991,10,2,0,0,"6' 3""","76""",Orthodox,2.51,51.0,3.64,44.0,1.45,23.0,66.0,1.9,83.333336,1987
3994,Albert Morales,Andre Soukhamthath,1,Bantamweight,f,DEC,3,2017,7,4,1,0,"5' 9""","72""",Orthodox,3.81,35.0,3.96,56.0,0.91,35.0,70.0,0.2,58.333332,1991,13,6,0,0,"5' 9""","70""",Orthodox,3.22,45.0,3.89,54.0,1.59,63.0,75.0,0.2,68.42105,1988
3995,Gian Villante,Mauricio Rua,0,Light Heavyweight,f,KO/TKO,3,2017,17,10,0,0,"6' 3""","76""",Orthodox,4.25,42.0,5.31,56.0,0.53,23.0,83.0,0.0,62.962963,1985,25,11,0,0,"6' 1""","76""",Orthodox,3.75,51.0,2.64,55.0,2.16,48.0,45.0,0.9,69.44444,1981
3996,Beneil Dariush,Edson Barboza,0,Lightweight,f,KO/TKO,2,2017,15,4,1,0,"5' 10""","72""",Southpaw,3.92,48.0,2.64,61.0,1.47,30.0,80.0,0.8,75.0,1989,19,6,0,0,"5' 11""","75""",Orthodox,3.64,41.0,4.0,60.0,0.49,50.0,80.0,0.1,76.0,1986
3997,Ray Borg,Jussier Formiga,1,Flyweight,f,DEC,3,2017,11,3,0,0,"5' 4""","63""",Orthodox,1.31,48.0,1.92,47.0,2.91,44.0,39.0,1.4,78.57143,1993,22,5,0,0,"5' 5""","67""",Orthodox,1.34,38.0,2.17,65.0,1.86,37.0,85.0,0.7,81.48148,1985
3998,Tim Means,Alex Oliveira,0,Welterweight,f,SUB,2,2017,27,10,1,1,"6' 2""","75""",Orthodox,4.71,44.0,3.22,63.0,0.66,44.0,63.0,0.2,69.23077,1984,19,4,1,2,"5' 11""","76""",Orthodox,3.01,53.0,2.08,46.0,3.45,38.0,57.0,0.9,73.07692,1988
3999,Francisco Trinaldo,Kevin Lee,0,Lightweight,f,SUB,2,2017,23,6,0,0,"5' 9""","70""",Southpaw,3.27,45.0,2.47,60.0,1.17,45.0,63.0,0.5,79.31035,1978,17,3,0,0,"5' 9""","77""",Orthodox,4.06,45.0,2.96,52.0,3.33,42.0,75.0,1.1,85.0,1992
4000,Davi Ramos,Sergio Moraes,0,Welterweight,f,DEC,3,2017,9,2,0,0,"5' 6""","70""",Orthodox,3.12,38.0,2.72,56.0,3.28,58.0,0.0,1.4,81.818184,1986,14,4,1,0,"6' 0""","72""",Orthodox,2.61,45.0,3.26,62.0,1.14,34.0,75.0,0.6,73.68421,1982
4001,Joe Soto,Rani Yahya,1,Bantamweight,f,DEC,3,2017,18,7,0,0,"5' 6""","65""",Orthodox,3.36,41.0,5.37,67.0,0.85,21.0,70.0,1.9,72.0,1987,26,9,0,1,"5' 6""","67""",Orthodox,1.48,38.0,1.46,50.0,3.13,34.0,22.0,2.3,72.22222,1984
4002,Michel Prazeres,Joshua Burkman,1,Lightweight,f,SUB,1,2017,26,2,0,0,"5' 6""","67""",Orthodox,2.59,47.0,2.32,60.0,4.22,38.0,47.0,0.7,92.85714,1981,29,17,0,1,"5' 10""","72""",Orthodox,2.69,43.0,3.13,51.0,2.53,36.0,72.0,0.3,61.70213,1980
4003,Rony Jason,Jeremy Kennedy,0,Featherweight,f,DEC,3,2017,15,7,0,1,"5' 7""","70""",Orthodox,2.04,44.0,3.14,53.0,0.59,30.0,36.0,0.8,65.21739,1984,11,1,0,0,"5' 11""","71""",Orthodox,2.22,46.0,2.58,47.0,5.73,52.0,66.0,0.0,91.666664,1992
4004,Garreth McLellan,Paulo Costa,0,Middleweight,f,KO/TKO,1,2017,13,6,0,0,"6' 1""","72""",Southpaw,3.56,54.0,2.94,45.0,1.15,22.0,34.0,0.9,68.42105,1982,12,0,0,0,"6' 1""","72""",,8.83,59.0,5.79,50.0,0.0,0.0,81.0,0.0,100.0,1991
4005,Jimi Manuwa,Corey Anderson,1,Light Heavyweight,f,KO/TKO,1,2017,17,4,0,0,"6' 1""","79""",Orthodox,3.34,53.0,3.74,49.0,0.58,21.0,71.0,0.4,80.95238,1980,12,4,0,0,"6' 3""","79""",Orthodox,4.55,47.0,2.2,59.0,5.48,52.0,75.0,0.0,75.0,1989
4006,Gunnar Nelson,Alan Jouban,1,Welterweight,f,SUB,2,2017,16,3,1,0,"5' 11""","72""",Switch,2.01,56.0,3.7,51.0,1.64,62.0,70.0,1.1,80.0,1988,16,6,0,0,"6' 0""","73""",Southpaw,5.41,53.0,3.48,60.0,0.52,50.0,62.0,0.0,72.72727,1981
4007,Marlon Vera,Brad Pickett,1,Catch Weight,f,KO/TKO,3,2017,12,5,1,0,"5' 8""","70""",Switch,3.23,44.0,3.93,52.0,0.78,37.0,68.0,1.3,66.666664,1992,26,14,0,0,"5' 6""","68""",Orthodox,3.02,31.0,4.63,55.0,2.47,44.0,58.0,0.4,65.0,1978
